Ngày,"Tên chiến dịch","Tên nhóm quảng cáo","Người tiếp cận","Lượt hiển thị","Số tiền đã chi tiêu (USD)","Người liên hệ qua nhắn tin mới","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Bình luận về bài viết","Lượt click vào liên kết","Bắt đầu báo cáo","Kết thúc báo cáo"
2024-01-17,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1213,1439,5.49,,,,1,2022-08-04,2024-01-17
2024-01-17,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2166,2604,11.92,2,2,1,5,2022-08-04,2024-01-17
2024-01-16,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2819,3507,15.21,5,5,1,14,2022-08-04,2024-01-17
2024-01-15,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3339,3972,14.78,1,1,,6,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",676,787,3.38,,,,1,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1111,1211,3.65,,,2,2,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] PBI","17/11 - PBI target mới",1594,1743,6.25,,,1,1,2022-08-04,2024-01-17
2024-01-14,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2914,3389,14.54,2,2,,5,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1069,1310,5.06,,,,1,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1885,2108,5.37,1,1,1,5,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] PBI","17/11 - PBI target mới",2328,2720,12.14,,1,1,6,2022-08-04,2024-01-17
2024-01-13,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3822,4504,15.64,3,3,1,17,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",855,1081,4.75,1,1,,2,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1833,2063,4.82,1,1,,5,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] PBI","17/11 - PBI target mới",3042,3234,12.2,1,3,,10,2022-08-04,2024-01-17
2024-01-12,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3449,4227,14.77,3,3,,12,2022-08-04,2024-01-17
2024-01-11,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",768,1005,4.83,,1,,1,2022-08-04,2024-01-17
2024-01-11,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1806,2100,4.69,1,2,,5,2022-08-04,2024-01-17
2024-01-11,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2912,3456,14.44,1,1,,7,2022-08-04,2024-01-17
2024-01-10,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",571,716,4.64,,,,3,2022-08-04,2024-01-17
2024-01-10,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1812,2072,4.79,,,,4,2022-08-04,2024-01-17
2024-01-10,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2951,3625,15.1,3,3,,12,2022-08-04,2024-01-17
2024-01-09,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1126,1376,4.62,1,1,,3,2022-08-04,2024-01-17
2024-01-09,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1954,2224,4.82,,,,7,2022-08-04,2024-01-17
2024-01-09,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3435,4032,14.61,5,5,1,15,2022-08-04,2024-01-17
2024-01-08,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",668,784,5.27,,,,1,2022-08-04,2024-01-17
2024-01-08,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1548,1720,4.94,1,1,,6,2022-08-04,2024-01-17
2024-01-08,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3284,3870,14.85,2,3,,11,2022-08-04,2024-01-17
2024-01-07,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",784,1014,5.8,,,,2,2022-08-04,2024-01-17
2024-01-07,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2490,2776,9.17,1,2,,8,2022-08-04,2024-01-17
2024-01-07,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3403,4041,18.94,6,6,1,12,2022-08-04,2024-01-17
2024-01-06,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",887,1157,6.01,1,1,,4,2022-08-04,2024-01-17
2024-01-06,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",4554,5202,12,2,2,2,8,2022-08-04,2024-01-17
2024-01-06,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5565,6736,26.43,,,,12,2022-08-04,2024-01-17
2024-01-05,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",982,1289,6.16,2,2,,4,2022-08-04,2024-01-17
2024-01-05,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",3934,4613,11.5,2,2,,7,2022-08-04,2024-01-17
2024-01-05,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5164,6424,26.96,5,6,1,21,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1107,1395,6.06,,,1,1,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - IT BA","IT-BA 03/01/2024",578,648,4.27,,,,1,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",4415,5249,11.99,2,2,2,10,2022-08-04,2024-01-17
2024-01-04,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5246,6425,26.75,7,7,1,24,2022-08-04,2024-01-17
2024-01-03,"[ĐTPTDL] - IT BA","IT-BA 03/01/2024",1459,1711,9.31,,,,4,2022-08-04,2024-01-17
2024-01-03,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",3778,4602,11.45,,,2,7,2022-08-04,2024-01-17
2024-01-03,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6884,8569,26.39,4,4,1,22,2022-08-04,2024-01-17
2024-01-02,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2519,3192,11.97,2,2,,8,2022-08-04,2024-01-17
2024-01-02,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3103,4191,22.06,4,5,,15,2022-08-04,2024-01-17
2024-01-01,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",5132,5154,10.96,1,1,1,5,2022-08-04,2024-01-17
2024-01-01,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",841,855,2.78,,,,2,2022-08-04,2024-01-17
2024-01-01,"ĐTPTDL] - DA - mới nhé","18/10 - DA",9796,10049,23.47,1,1,,20,2022-08-04,2024-01-17
2023-12-27,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2,2,0.01,,,,,2022-08-04,2024-01-17
2023-12-27,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2,2,0.01,,,,,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2055,2493,10.44,5,5,1,6,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1722,1876,8.62,,,,3,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",1130,1420,11.73,1,1,1,,2022-08-04,2024-01-17
2023-12-26,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4081,5084,24.8,2,2,,14,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2044,2526,11.5,2,2,,5,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",2078,2183,7.93,,,,6,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",723,962,7.65,,,,1,2022-08-04,2024-01-17
2023-12-25,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2788,3466,17.31,1,1,,10,2022-08-04,2024-01-17
2023-12-23,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",,,,1,1,,,2022-08-04,2024-01-17
2023-12-23,"ĐTPTDL] - DA - mới nhé","18/10 - DA",,,,,1,,,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1354,1685,10.94,,,,6,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2787,3191,10.68,3,3,1,6,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] PBI","17/11 - PBI target mới",2776,3042,8.1,,,,5,2022-08-04,2024-01-17
2023-12-22,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5756,6703,22.65,3,3,2,14,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1196,1412,12.11,1,1,,4,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2418,2883,12.33,1,1,,6,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] PBI","17/11 - PBI target mới",2335,2586,7.97,2,2,1,6,2022-08-04,2024-01-17
2023-12-21,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4465,5407,26.93,4,4,,11,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1773,2159,12,1,1,,3,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2387,2941,12.03,4,4,2,8,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] PBI","17/11 - PBI target mới",1068,1203,6.15,1,1,,3,2022-08-04,2024-01-17
2023-12-20,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3696,4807,26.65,3,4,1,13,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",15,15,0.04,,,,,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",535,540,2.1,,,,2,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] PBI","17/11 - PBI target mới",1399,1404,4.69,1,1,,3,2022-08-04,2024-01-17
2023-12-19,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6013,6276,24.63,1,1,2,11,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] - Python combo","05/05 Python combo",185,197,1.23,,,,,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] - Python combo","22/09 - Python combo",87,90,0.35,,,,,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] PBI","17/11 - PBI target mới",411,446,2.15,,,,1,2022-08-04,2024-01-17
2023-12-15,"ĐTPTDL] - DA - mới nhé","18/10 - DA",1697,1974,9.48,2,2,1,8,2022-08-04,2024-01-17
2023-12-14,"[ĐTPTDL] - Python combo","05/05 Python combo",4862,5818,16.76,2,2,,10,2022-08-04,2024-01-17
